block,layer,shape (OxI),act_in_dtype,act_in_bits,act_in_bytes/token,weight_dtype,weight_bits,block_size,scale_dtype,scale_bits,weight_bytes,scale_bytes,total_weight_bytes,act_out_dtype,act_out_bits,act_out_bytes/token,matmul_formula,matmul_factor,matmul_flops/token,scale_dequant_flops/token,total_flops/token,matmul_flops/image,scale_dequant_flops/image,total_flops/image,eff_bits/weight
,,,,,,,,,,,,,,,,,,,,,,,,,
=== BIT-WEIGHTED FLOPs CALCULATION ===,,,,,,,,,,,,,,,,,,,,,,,,,
Matmul (bit-weighted),"2 x O x I x factor,  factor = max(act_bits, wgt_bits) / 8    [FP16×any→x2.0  FP8×FP8→x1.0  NVFP4×NVFP4→x0.5]",,,,,,,,,,,,,,,,,,,,,,,,
Scale dequant ops,params x (scale_bits / 8)    [each weight element × its block scale factor],,,,,,,,,,,,,,,,,,,,,,,,
Total per token,matmul_flops + scale_dequant_flops,,,,,,,,,,,,,,,,,,,,,,,,
Per image (1024x1024),flops/token x 4096 tokens    [128x128 latent / patch_size=2 = 64x64 = 4096],,,,,,,,,,,,,,,,,,,,,,,,
Cascade-3 note,"Weight-only quant → act=FP16 preserved → no SVD branch, no SmoothQuant, no act quant overhead",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,attn1.to_q,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
0,attn1.to_k,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
0,attn1.to_v,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
0,attn1.to_out.0,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
0,attn2.to_q,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
0,attn2.to_k,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
0,attn2.to_v,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
0,attn2.to_out.0,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
0,ff.net.0.proj,4608x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,5308416,165888,5474304,FP16,16,9216.0,2 x 4608 x 1152 x 2.0,2.0,21233664,10616832,31850496,86973087744,43486543872,130459631616,8.25
0,ff.net.2,1152x4608,FP16,16,9216.0,MXFP8,8,64,FP16,16,5308416,165888,5474304,FP16,16,2304.0,2 x 1152 x 4608 x 2.0,2.0,21233664,10616832,31850496,86973087744,43486543872,130459631616,8.25
1,attn1.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
1,attn1.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
1,attn1.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
1,attn1.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
1,attn2.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
1,attn2.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
1,attn2.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
