block,layer,shape (OxI),act_in_dtype,act_in_bits,act_in_bytes/token,weight_dtype,weight_bits,block_size,scale_dtype,scale_bits,weight_bytes,scale_bytes,svd_bytes,sin_bytes,total_weight_bytes,act_out_dtype,act_out_bits,act_out_bytes/token,matmul_formula,matmul_factor,matmul_flops/token,scale_dequant_flops/token,svd_flops/token,hadamard_flops/token,act_quant_flops/token,total_flops/token,matmul_flops/image,scale_dequant_flops/image,svd_flops/image,hadamard_flops/image,act_quant_flops/image,total_flops/image,eff_bits/weight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== BIT-WEIGHTED FLOPs CALCULATION ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matmul (bit-weighted),"2 x O x I x max(act_bits, wgt_bits)/8   [NVFP4+MXFP8→max(4,8)/8=1.0  NVFP4+MXFP6→max(4,6)/8=0.75  FP16→x2.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale dequant ops,params x (scale_bits/8)   [MXFP8 FP16-scale→x2.0  MXFP6 E8M0-scale→x1.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVD branch (FP16),"(2 x rank x I + 2 x O x rank) x (16/8)   [lora_a + lora_b, FP16→x2.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadamard rotation (FP16),in_f x (1 + 256) x (16/8)   [sign flip (in_f) + block matmul ((in_f/128) x 2 x 128^2)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act quant overhead (NVFP4),"in_f x 2 x (4/8)   [quantize + dequantize, 4-bit→x0.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No SmoothQuant,SmoothQuant 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per image,flops/token x 4096 tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
0,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
0,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
0,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
0,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
0,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
0,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
0,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
0,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,5308416,165888,368640,2304,5845248,FP16,16,9216.0,2 x 4608 x 1152 x 1.0,1.0,10616832,10616832,737280,592128,1152,22564224,43486543872,43486543872,3019898880,2425356288,4718592,92423061504,8.81
0,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP8,8,64,FP16,16,5308416,165888,368640,9216,5852160,FP16,16,2304.0,2 x 1152 x 4608 x 1.0,1.0,10616832,10616832,737280,2368512,4608,24344064,43486543872,43486543872,3019898880,9701425152,18874368,99713286144,8.82
1,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
1,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
