block,layer,shape (OxI),act_in_dtype,act_in_bits,act_in_bytes/token,weight_dtype,weight_bits,block_size,scale_dtype,scale_bits,weight_bytes,scale_bytes,svd_bytes,smooth_bytes,total_weight_bytes,act_out_dtype,act_out_bits,act_out_bytes/token,matmul_formula,matmul_factor,matmul_flops/token,scale_dequant_flops/token,svd_flops/token,smooth_flops/token,act_quant_flops/token,total_flops/token,matmul_flops/image,scale_dequant_flops/image,svd_flops/image,smooth_flops/image,act_quant_flops/image,total_flops/image,eff_bits/weight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== BIT-WEIGHTED FLOPs CALCULATION ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matmul (bit-weighted),"2 x O x I x factor,  factor = max(act_bits, wgt_bits)/8    [NVFP4 x NVFP4 → max(4,4)/8 = 0.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale dequant ops,"params x (scale_bits/8)    [FP16 scale → x2.0, FP8 scale → x1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVD branch (FP16),"(2 x rank x I + 2 x O x rank) x (16/8)    [lora_a + lora_b, both FP16 → x2.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmoothQuant scale,in_features x (16/8)    [per-channel FP16 element-wise multiply → x2.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act quantization,"in_features x 2 x (act_bits/8)    [quantize + dequantize overhead, 0 if FP16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total per token,matmul + scale_dequant + svd + smooth + act_quant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per image,flops/token x 4096 tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
0,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
0,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
0,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
0,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
0,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
0,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
0,attn2.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
0,ff.net.0.proj,4608x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,2654208,663552,368640,2304,3688704,FP16,16,9216.0,2 x 4608 x 1152 x 0.5,0.5,5308416,10616832,737280,2304,1152,16665984,21743271936,43486543872,3019898880,9437184,4718592,68263870464,5.56
0,ff.net.2,1152x4608,NVFP4,4,2304.0,NVFP4,4,16,FP16,16,2654208,663552,368640,9216,3695616,FP16,16,2304.0,2 x 1152 x 4608 x 0.5,0.5,5308416,10616832,737280,9216,4608,16676352,21743271936,43486543872,3019898880,37748736,18874368,68306337792,5.57
1,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
1,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
